,#,claim_status,video_id,video_duration_sec,video_transcription_text,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count
0,1,claim,7017666017,59,someone shared with me that drone deliveries are already happening and will become common by 2025,not verified,under review,343296.0,19425.0,241.0,1.0,0.0
1,2,claim,4014381136,32,someone shared with me that there are more microorganisms in one teaspoon of soil than people on the planet,not verified,active,140877.0,77355.0,19034.0,1161.0,684.0
2,3,claim,9859838091,31,"someone shared with me that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",not verified,active,902185.0,97690.0,2858.0,833.0,329.0
3,4,claim,1866847991,25,"someone shared with me that the metro of st. petersburg, with an average depth of hundred meters, is the deepest metro in the world",not verified,active,437506.0,239954.0,34812.0,1234.0,584.0
4,5,claim,7105231098,19,someone shared with me that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide,not verified,active,56167.0,34987.0,4110.0,547.0,152.0
5,6,claim,8972200955,35,someone shared with me that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,not verified,under review,336647.0,175546.0,45382.5,2880.125,728.5
6,7,claim,4958886992,16,someone shared with me that elvis presley has sold more records than the music band the beatles,not verified,active,750345.0,311333.875,45382.5,2880.125,728.5
7,8,claim,2270982263,41,"someone shared with me that the best selling single of all time is ""white christmas"" by bing crosby",not verified,active,547532.0,1072.0,50.0,22.0,11.0
8,9,claim,5235769692,50,someone shared with me that about half of the world's population can access the web via a mobile device,not verified,active,24819.0,10160.0,1050.0,53.0,27.0
9,10,claim,4660861094,45,someone shared with me that it would take a 50 petabyte drive to store every written work ever created,verified,active,931587.0,171051.0,45382.5,2880.125,728.5
10,11,claim,8095102436,47,someone shared with me that an average user spends 40% of their day on the internet,not verified,active,695641.0,238030.0,23062.0,1719.0,378.0
11,12,claim,4507218541,30,someone shared with me that the world generates 2.5 quintillion bytes of data every day,not verified,active,482046.0,168107.0,19474.0,2880.125,532.0
12,13,claim,3609761483,51,someone shared with me that the longest recorded cricket match lasted 14 days,not verified,active,700081.0,311333.875,45382.5,2408.0,728.5
13,14,claim,3850678773,20,"someone shared with me that 1920 was the last time the event ""tug-of-war"" was played in the summer olympics",not verified,under review,929685.0,311333.875,45382.5,1225.0,728.5
14,15,claim,1656032315,42,someone shared with me that american basketball legend wilt chamberlain never fouled out of a game,not verified,active,937231.0,237318.0,45382.5,1867.0,728.5
15,16,claim,9277685719,10,"someone shared with me that the city with the largest bus network in the world is jakarta, indonesia",not verified,active,746186.0,193.0,29.0,2.0,0.0
16,17,claim,9346511024,11,someone shared with me that a dog’s sense of smell is much more powerful than a human's,not verified,active,923007.0,67714.0,17710.0,845.0,536.0
17,18,claim,9533847147,27,"someone shared with me that a common garden snail has over 12,000 teeth",not verified,active,467702.0,40435.0,2804.0,495.0,327.0
18,19,claim,2359906270,11,someone shared with me that we only see the same side of the moon,not verified,active,168594.0,105245.0,37929.0,1723.0,694.0
19,20,claim,7146819625,34,someone shared with me that the moon was once part of the earth,not verified,active,249935.0,20437.0,2240.0,212.0,70.0
20,21,claim,3827012052,27,someone shared with me that neptune radiates more heat than it gets from the sun,not verified,active,550259.0,30528.0,6704.0,258.0,88.0
21,22,claim,6940114042,20,someone shared with me that there are more stars in the universe than grains of sand on earth,not verified,active,510989.0,162612.0,26745.0,2507.0,728.5
22,23,claim,7986031283,52,"someone shared with me that about once a year, an asteroid the size of a car enters earth’s atmosphere",not verified,banned,60096.0,34245.0,11345.0,219.0,77.0
23,24,claim,5733649579,54,"someone shared with me that through the seasons, a reindeer’s eyes will change color",not verified,active,750942.0,136252.0,27119.0,2637.0,728.5
24,25,claim,2736327047,39,someone shared with me that elephants will console each other during stressful situations,not verified,active,353722.0,39844.0,10399.0,181.0,54.0
25,26,claim,6792082620,33,someone shared with me that avocados never ripen while they are still attached to the tree,not verified,active,506061.0,288150.0,39351.0,2405.0,728.5
26,27,claim,2385469584,10,someone shared with me that people are born with only 2 natural fears: the fear of falling and the fear of loud sounds,not verified,under review,50892.0,7976.0,2903.0,125.0,78.0
27,28,claim,6569363811,22,someone shared with me that sneezing while traveling at 60 mph makes you close your eyes for 50 feet,not verified,under review,812056.0,311333.875,3515.0,2880.125,728.5
28,29,claim,6301836558,21,someone shared with me that people don’t sneeze in their sleep,not verified,active,677855.0,311333.875,45382.5,2880.125,728.5
29,30,claim,6854087993,48,"someone shared with me that at birth, baby pandas are smaller than mice",not verified,active,74323.0,20940.0,3678.0,274.0,63.0
30,31,claim,7568304116,55,someone shared with me that the microwave oven was an accidental invention,not verified,active,573518.0,311333.875,45382.5,2880.125,728.5
31,32,claim,7730527836,21,someone shared with me that a blue whale's heartbeat can be heard from two miles away,not verified,banned,376637.0,226700.0,45382.5,2060.0,278.0
32,33,claim,8304906458,23,someone shared with me that the longest location name on the planet earth is 85 letters in english.,not verified,active,781955.0,311333.875,45382.5,2880.125,728.5
33,34,claim,7723647550,33,someone shared with me that the red-billed quelea is the most common bird on earth,not verified,active,822795.0,311333.875,45382.5,2880.125,728.5
34,35,claim,1260034177,10,"someone shared with me that in japan, its considered good luck when a sumo wrestler makes your baby cry",not verified,active,418750.0,133645.0,27821.0,2387.0,206.0
35,36,claim,5407291277,12,someone shared with me that bubble wrap was originally designed to be used as wallpaper,not verified,active,535825.0,73157.0,1642.0,1573.0,97.0
36,37,claim,6844920875,29,someone shared with me that humans have jumped further than horses in the olympics,not verified,active,924262.0,311333.875,37874.0,2880.125,635.0
37,38,claim,9171709060,30,someone shared with me that a one-armed player scored the winning goal in the first soccer tournament world cup in 1930,not verified,active,489267.0,110476.0,17911.0,2585.0,90.0
38,39,claim,2310167046,20,someone shared with me that jobs in the field of agriculture are the most prevalent types of jobs in the world,not verified,active,879368.0,311333.875,45382.5,2880.125,728.5
39,40,claim,4040057402,20,someone shared with me that the eye of an ostrich is bigger than its brain,not verified,active,135682.0,50881.0,7713.0,944.0,324.0
40,41,claim,7334026327,25,someone shared with me that the largest pair of eyes in the world belongs to the giant squid,not verified,under review,289935.0,3484.0,1092.0,20.0,3.0
41,42,claim,5280794672,34,someone shared with me that buttermilk does not contain any butter,not verified,active,903941.0,311333.875,32446.0,2880.125,728.5
42,43,claim,2869029922,46,someone shared with me that one strand of hair can hold up to 3 ounces of weight,not verified,active,704320.0,161850.0,19294.0,2880.125,566.0
43,44,claim,1421558858,5,someone shared with me that bottled water has an expiration date,not verified,under review,609453.0,262718.0,45382.5,826.0,99.0
44,45,claim,4477338445,31,someone shared with me that driving south from detroit will lead to canada,not verified,active,790372.0,24067.0,4167.0,434.0,236.0
45,46,claim,4479658983,34,someone shared with me that sea otters are born unable to swim,not verified,under review,750369.0,271101.0,45382.5,1482.0,426.0
46,47,claim,9398305380,17,someone shared with me that apple seeds contain cyanide,not verified,under review,630556.0,67394.0,16130.0,1197.0,720.0
47,48,claim,2584492620,52,someone shared with me that alaska is the only u.s. state whose name can be typed on a single row on the american standard keyboard,not verified,active,853104.0,45589.0,16274.0,758.0,163.0
